lat,lon,elevation_m
13.5,100.3,5.0
13.5,100.306061,1.0
13.5,100.312121,1.0
13.5,100.318182,1.0
13.5,100.324242,1.0
13.5,100.330303,2.0
13.5,100.336364,4.0
13.5,100.342424,4.0
13.5,100.348485,5.0
13.5,100.354545,2.0
13.5,100.360606,4.0
13.5,100.366667,4.0
13.5,100.372727,4.0
13.5,100.378788,4.0
13.5,100.384848,2.0
13.5,100.390909,3.0
13.5,100.39697,5.0
13.5,100.40303,5.0
13.5,100.409091,3.0
13.5,100.415152,5.0
13.5,100.421212,5.0
13.5,100.427273,5.0
13.5,100.433333,5.0
13.5,100.439394,3.0
13.5,100.445455,6.0
13.5,100.451515,5.0
13.5,100.457576,5.0
13.5,100.463636,5.0
13.5,100.469697,5.0
13.5,100.475758,5.0
13.5,100.481818,5.0
13.5,100.487879,5.0
13.5,100.493939,5.0
13.5,100.5,5.0
13.5,100.506061,5.0
13.5,100.512121,5.0
13.5,100.518182,5.0
13.5,100.524242,5.0
13.5,100.530303,5.0
13.5,100.536364,5.0
13.5,100.542424,5.0
13.5,100.548485,5.0
13.5,100.554545,5.0
13.5,100.560606,5.0
13.5,100.566667,5.0
13.5,100.572727,5.0
13.5,100.578788,5.0
13.5,100.584848,5.0
13.5,100.590909,5.0
13.5,100.59697,5.0
13.5,100.60303,5.0
13.5,100.609091,5.0
13.5,100.615152,5.0
13.5,100.621212,5.0
13.5,100.627273,5.0
13.5,100.633333,5.0
13.5,100.639394,5.0
13.5,100.645455,5.0
13.5,100.651515,5.0
13.5,100.657576,5.0
13.5,100.663636,5.0
13.5,100.669697,5.0
13.5,100.675758,5.0
13.5,100.681818,5.0
13.5,100.687879,5.0
13.5,100.693939,5.0
13.5,100.7,5.0
13.5,100.706061,5.0
13.5,100.712121,5.0
13.5,100.718182,5.0
13.5,100.724242,5.0
13.5,100.730303,5.0
13.5,100.736364,3.0
13.5,100.742424,6.0
13.5,100.748485,3.0
13.5,100.754545,6.0
13.5,100.760606,2.0
13.5,100.766667,5.0
13.5,100.772727,5.0
13.5,100.778788,5.0
13.5,100.784848,5.0
13.5,100.790909,3.0
13.5,100.79697,3.0
13.5,100.80303,-1.0
13.5,100.809091,6.0
13.5,100.815152,5.0
13.5,100.821212,4.0
13.5,100.827273,5.0
13.5,100.833333,4.0
13.5,100.839394,5.0
13.5,100.845455,5.0
13.5,100.851515,2.0
13.5,100.857576,1.0
13.5,100.863636,1.0
13.5,100.869697,3.0
13.5,100.875758,1.0
13.5,100.881818,4.0
13.5,100.887879,5.0
13.5,100.893939,4.0
13.5,100.9,2.0
13.505051,100.3,1.0
13.505051,100.306061,1.0
13.505051,100.312121,1.0
13.505051,100.318182,1.0
13.505051,100.324242,1.0
13.505051,100.330303,5.0
13.505051,100.336364,2.0
13.505051,100.342424,1.0
13.505051,100.348485,1.0
13.505051,100.354545,1.0
13.505051,100.360606,3.0
13.505051,100.366667,1.0
13.505051,100.372727,2.0
13.505051,100.378788,1.0
13.505051,100.384848,1.0
13.505051,100.390909,1.0
13.505051,100.39697,1.0
13.505051,100.40303,5.0
13.505051,100.409091,5.0
13.505051,100.415152,5.0
13.505051,100.421212,5.0
13.505051,100.427273,5.0
13.505051,100.433333,5.0
13.505051,100.439394,5.0
13.505051,100.445455,5.0
13.505051,100.451515,5.0
13.505051,100.457576,3.0
13.505051,100.463636,1.0
13.505051,100.469697,10.0
13.505051,100.475758,1.0
13.505051,100.481818,10.0
13.505051,100.487879,2.0
13.505051,100.493939,5.0
13.505051,100.5,2.0
13.505051,100.506061,5.0
13.505051,100.512121,5.0
13.505051,100.518182,5.0
13.505051,100.524242,5.0
13.505051,100.530303,5.0
13.505051,100.536364,5.0
13.505051,100.542424,5.0
13.505051,100.548485,5.0
13.505051,100.554545,5.0
13.505051,100.560606,5.0
13.505051,100.566667,5.0
13.505051,100.572727,5.0
13.505051,100.578788,5.0
13.505051,100.584848,5.0
13.505051,100.590909,5.0
13.505051,100.59697,5.0
13.505051,100.60303,5.0
13.505051,100.609091,5.0
13.505051,100.615152,5.0
13.505051,100.621212,5.0
13.505051,100.627273,5.0
13.505051,100.633333,5.0
13.505051,100.639394,5.0
13.505051,100.645455,5.0
13.505051,100.651515,5.0
13.505051,100.657576,5.0
13.505051,100.663636,5.0
13.505051,100.669697,5.0
13.505051,100.675758,5.0
13.505051,100.681818,5.0
13.505051,100.687879,5.0
13.505051,100.693939,5.0
13.505051,100.7,5.0
13.505051,100.706061,4.0
13.505051,100.712121,2.0
13.505051,100.718182,5.0
13.505051,100.724242,4.0
13.505051,100.730303,6.0
13.505051,100.736364,4.0
13.505051,100.742424,4.0
13.505051,100.748485,1.0
13.505051,100.754545,3.0
13.505051,100.760606,5.0
13.505051,100.766667,5.0
13.505051,100.772727,2.0
13.505051,100.778788,1.0
13.505051,100.784848,5.0
13.505051,100.790909,5.0
13.505051,100.79697,2.0
13.505051,100.80303,1.0
13.505051,100.809091,-1.0
13.505051,100.815152,4.0
13.505051,100.821212,6.0
13.505051,100.827273,5.0
13.505051,100.833333,3.0
13.505051,100.839394,3.0
13.505051,100.845455,2.0
13.505051,100.851515,1.0
13.505051,100.857576,1.0
13.505051,100.863636,5.0
13.505051,100.869697,5.0
13.505051,100.875758,3.0
13.505051,100.881818,2.0
13.505051,100.887879,3.0
13.505051,100.893939,3.0
13.505051,100.9,1.0
13.510101,100.3,2.0
13.510101,100.306061,2.0
13.510101,100.312121,2.0
13.510101,100.318182,2.0
13.510101,100.324242,3.0
13.510101,100.330303,5.0
13.510101,100.336364,3.0
13.510101,100.342424,1.0
13.510101,100.348485,1.0
13.510101,100.354545,1.0
13.510101,100.360606,1.0
13.510101,100.366667,1.0
13.510101,100.372727,1.0
13.510101,100.378788,1.0
13.510101,100.384848,1.0
13.510101,100.390909,1.0
13.510101,100.39697,1.0
13.510101,100.40303,1.0
13.510101,100.409091,3.0
13.510101,100.415152,5.0
13.510101,100.421212,6.0
13.510101,100.427273,4.0
13.510101,100.433333,2.0
13.510101,100.439394,5.0
13.510101,100.445455,5.0
13.510101,100.451515,2.0
13.510101,100.457576,1.0
13.510101,100.463636,1.0
13.510101,100.469697,1.0
13.510101,100.475758,1.0
13.510101,100.481818,1.0
13.510101,100.487879,5.0
13.510101,100.493939,4.0
13.510101,100.5,3.0
13.510101,100.506061,5.0
13.510101,100.512121,5.0
13.510101,100.518182,3.0
13.510101,100.524242,5.0
13.510101,100.530303,5.0
13.510101,100.536364,4.0
13.510101,100.542424,5.0
13.510101,100.548485,5.0
13.510101,100.554545,5.0
13.510101,100.560606,5.0
13.510101,100.566667,5.0
13.510101,100.572727,5.0
13.510101,100.578788,5.0
13.510101,100.584848,5.0
13.510101,100.590909,5.0
13.510101,100.59697,5.0
13.510101,100.60303,5.0
13.510101,100.609091,5.0
13.510101,100.615152,5.0
13.510101,100.621212,5.0
13.510101,100.627273,5.0
13.510101,100.633333,5.0
13.510101,100.639394,5.0
13.510101,100.645455,5.0
